Price,abs_returns,sq_returns,rv_5,rv_10,rv_20,rv_60,target_20d
Ticker,,,,,,,
Date,,,,,,,
2005-03-31,0.0018633086598141518,3.4719191617384104e-06,0.12189541941689397,0.10281319001951668,0.10815045768398382,0.10417246258621778,0.1478782987509112
2005-04-01,0.004503363166153402,2.028027980626719e-05,0.12965494697397492,0.10340227242435622,0.10861729738267505,0.10151839444045989,0.15674034189185748
2005-04-04,0.0017016826209536931,2.8957237424558304e-06,0.12978393918984327,0.10386766638918869,0.09661012129622534,0.10058834798331799,0.15814390714461726
2005-04-05,0.004749897151176514,2.2561522946754767e-05,0.1141645179268027,0.10581921933601504,0.09917280909671812,0.1005213793871033,0.15716550408618266
2005-04-06,0.003462593174179613,1.1989551489875248e-05,0.060802703816208115,0.08961544304769647,0.10050270762414126,0.10072239217905304,0.1593429012723877
2005-04-07,0.00538169040641041,2.8962591630449846e-05,0.06319672164206651,0.09164080381242216,0.09612124658883528,0.10086199266700296,0.1578452789512888
2005-04-08,0.010453328298249569,0.00010927207251098522,0.10379046338510704,0.11079162026973421,0.1016839331617131,0.10216536717688743,0.15397445016660918
2005-04-11,0.000762311073939544,5.81118173450861e-07,0.10358646117970571,0.11072045098701866,0.0994490708103316,0.10195242839641101,0.15572109158848366
2005-04-12,0.005152610758103842,2.654939762452745e-05,0.10459319672292555,0.10452682410085039,0.09853075125896261,0.10108982950174777,0.15851191866811826
2005-04-13,0.01186465418435892,0.0001407700189144256,0.1332515963951343,0.10064270004785442,0.10284753938659087,0.10350515611855618,0.1544910476291973
2005-04-14,0.013129812963346903,0.0001723919884524724,0.13165472899405667,0.11845570884856853,0.10846035278325758,0.10459150268230497,0.152326284267023
2005-04-15,0.014091526949223469,0.00019857113176069129,0.1417193628858174,0.13326757454662858,0.11681623712977224,0.10630172874979944,0.14317731354623095
2005-04-18,0.0030610844891314597,9.37023824960121e-06,0.1499769298531329,0.13472940940265551,0.11813011807421891,0.1059023892447683,0.1462237810156146
2005-04-19,0.007916140232932132,6.26652761874468e-05,0.16377462695997166,0.1404458517576451,0.12266941834896203,0.1065432699705978,0.1454992022976528
2005-04-20,0.014048302030297919,0.00019735478993447263,0.16964704810646097,0.14738575290413627,0.1271022553699447,0.1102446170895273,0.1376646348903596
2005-04-21,0.01923414242771451,0.0003699522349296074,0.22963991654320504,0.1842222614791111,0.14657140375762162,0.11716363734324266,0.12241160256592308
2005-04-22,0.003800194534227273,1.444147849797084e-05,0.1981479294632828,0.17939282961227263,0.14691108462291033,0.11723523054797143,0.12136090140350317
2005-04-25,0.006554489740020298,4.296133575203135e-05,0.20034151235642483,0.18425372255802336,0.1489927681194699,0.11798581760938681,0.12084762299922254
2005-04-26,0.009761292849246176,9.528283808874454e-05,0.21287965927014196,0.18438295973434676,0.1511011089163128,0.11963782766307389,0.1144066655479383
2005-04-27,0.0038989553918453495,1.5201853147599923e-05,0.17494930608434345,0.1800763502293051,0.1420845457148771,0.11920038975049278,0.11448381905534655
2005-04-28,0.012617052357001054,0.00015919001017930586,0.13225041822720227,0.17915852851261777,0.1478782987509112,0.12101562196893957,0.10197032529279045
2005-04-29,0.01348076683145071,0.00018173107436394163,0.17639338688648112,0.17778015672028047,0.15674034189185748,0.12421149304663925,0.09335255694496533
2005-05-02,0.00560004863340661,3.136054469651924e-05,0.17438383127042173,0.17890098818830621,0.15814390714461726,0.12473621606695132,0.09673884715532553
2005-05-03,0.001717306876564783,2.949142908296691e-06,0.15085945455514946,0.17549137932981232,0.15716550408618266,0.12272666535231623,0.10006061761123547
2005-05-04,0.007688909068878232,5.911932266947792e-05,0.15553349289007803,0.1560603022731453,0.1593429012723877,0.1238358478330246,0.0975233477108209
2005-05-05,0.0003405194603535603,1.1595350287947992e-07,0.08579243033356285,0.1281947073870055,0.1578452789512888,0.12379843658964072,0.10003044578168059
2005-05-06,0.0031551217535218013,9.954793279546486e-06,0.06964951271487628,0.1275234075021803,0.15397445016660918,0.12303619751413408,0.09906878499611152
2005-05-09,0.006215343837097781,3.863049901334937e-05,0.07159479214472571,0.12714342325637196,0.15572109158848366,0.12350170303565752,0.09731538704381365
2005-05-10,0.010408611692100715,0.00010833919735693572,0.11669646629953254,0.12874778178533564,0.15851191866811826,0.12386838910191435,0.0883645092746317
2005-05-11,0.005473745269913309,2.9961887279898324e-05,0.10825580464338035,0.12990687727768777,0.1544910476291973,0.12447435994743469,0.08795438319311492
2005-05-12,0.011064449641576055,0.00012242204587097248,0.13182160941321386,0.1253826995032066,0.152326284267023,0.12605316194244948,0.07627280896227892
2005-05-13,0.0019852102667085106,3.941059803044876e-06,0.1317660553964454,0.10672421145532873,0.14317731354623095,0.12605111280038622,0.07506265179355856
2005-05-16,0.009289313176512786,8.629133929133406e-05,0.14545636302461512,0.11355770108769203,0.1462237810156146,0.126726195781108,0.07006673365259868
2005-05-17,0.006655914431925025,4.430119692510783e-05,0.13112296634414172,0.11785600171793002,0.1454992022976528,0.12750744470028227,0.06760328248140465
2005-05-18,0.010238310540324695,0.00010482300272012375,0.14359167895200944,0.12260528533083125,0.1376646348903596,0.12559007149437632,0.05939012858863346
2005-05-19,0.004199868770323135,1.7638897687935562e-05,0.07764889473641076,0.12323698691216417,0.12241160256592308,0.12502830659400707,0.05906725437610114
2005-05-20,0.0014256046695190706,2.0323486737545787e-06,0.07419355196791112,0.12168576363685475,0.12136090140350317,0.12431225914843735,0.058411904253971136
2005-05-23,0.0055250746632010865,3.05264500339466e-05,0.0675267518361595,0.12101909071127487,0.12084762299922254,0.12314614236687021,0.05609028891178749
2005-05-24,0.002340509510314957,5.477984767874761e-06,0.082497518945012,0.10410487155538996,0.1144066655479383,0.12250050265514684,0.05477339331978756
2005-05-25,0.0007531245406169952,5.6719657367956e-07,0.056584886160446504,0.10374415539002264,0.11448381905534655,0.12205255349958136,0.07689079932367165
2005-05-26,0.005345280580035236,2.857202447930183e-05,0.06102332425897158,0.07547026355832775,0.10197032529279045,0.12257530007639698,0.07923108476955965
2005-05-27,0.0016644815035994829,2.7704986758247953e-06,0.05617360812944792,0.07011042924531559,0.09335255694496533,0.12262403956601906,0.0791598192516365
2005-05-31,0.006423656281551302,4.12633600235135e-05,0.06982687212668007,0.07963796530882337,0.09673884715532553,0.12050781732404586,0.08125105980680064
2005-06-01,0.008500159402039537,7.225270986008114e-05,0.09103222070111935,0.08295196327863526,0.10006061761123547,0.12186586069628162,0.0761413868486795
2005-06-02,0.0021562337513378496,4.649343990408495e-06,0.08846715983920045,0.0707354315917884,0.0975233477108209,0.1217416535469083,0.07793874147803387
2005-06-03,0.005064303233223534,2.5647167238038342e-05,0.09605203176635997,0.07642477013483227,0.10003044578168059,0.12000777994927116,0.0768305076342409
